n-gram	total_score	total_occurrences	average_score
safe side	-1.8	1	-1.8
Instructors are	1.8	1	1.8
are responsible	5.2	3	1.7333333333333334
responsible for	19.2	13	1.4769230769230768
for establishing	1.8	1	1.8
establishing and	1.8	1	1.8
and publishing	2.0	2	1.0
publishing the	2.0	2	1.0
the grading	1.8	1	1.8
grading scale	1.8	1	1.8
scale applicable	1.8	1	1.8
applicable to	1.8	1	1.8
to their	9.200000000000003	11	0.8363636363636366
their courses	1.8	1	1.8
courses .	1.8	1	1.8
Why are	-1.4	1	-1.4
are you	-19.3	18	-1.0722222222222222
you wasting	-1.4	1	-1.4
wasting your	-1.4	2	-0.7
your time	-4.749999999999999	6	-0.7916666666666665
time wondering	-1.4	1	-1.4
wondering who	-3.15	2	-1.575
who to	-1.4	1	-1.4
be with	-6.25	5	-1.25
with .	-6.0	4	-1.5
Go to	-0.8999999999999999	8	-0.11249999999999999
to Yahoo	-0.6	1	-0.6
Yahoo and	-0.6	1	-0.6
and type	-0.6	1	-0.6
type in	-2.1	2	-1.05
in Yahoo	-0.6	1	-0.6
Yahoo toolbar	-0.6	1	-0.6
toolbar .	-0.8	2	-0.4
Well they	-1.8	1	-1.8
they '	-7.800000000000001	8	-0.9750000000000001
' re	-54.849999999999994	44	-1.2465909090909089
re are	-1.8	1	-1.8
are laws	-1.8	1	-1.8
laws for	-1.8	1	-1.8
for this	11.95	17	0.7029411764705882
this country	5.800000000000001	9	0.6444444444444445
country .	2.220446049250313e-16	7	3.172065784643304e-17
still have	-4.000000000000001	4	-1.0000000000000002
have some	-6.6	5	-1.3199999999999998
some time	0.49999999999999994	8	0.06249999999999999
time to	20.433333333333003	38	0.5377192982456054
to grow	0.1999999999999999	4	0.049999999999999975
grow up	-1.4	4	-0.35
up .	-5.799999999999999	11	-0.5272727272727272
For the	16.2	14	1.157142857142857
the exercise	1.4	1	1.4
exercise ,	1.4	1	1.4
, consider	1.4	1	1.4
consider it	3.0	2	1.5
it a	-5.600000000000001	11	-0.5090909090909093
a priority	1.4	1	1.4
priority to	1.4	1	1.4
to include	4.0	4	1.0
include it	1.4	1	1.4
it into	2.75	6	0.4583333333333333
into your	-1.6	2	-0.8
your routine	1.4	1	1.4
routine .	1.4	1	1.4
When the	-2.2666666666669997	12	-0.18888888888891664
the horse	2.0	2	1.0
horse stop	1.0	1	1.0
stop 's	1.0	1	1.0
's ,	3.8	2	1.9
, immediately	1.0	1	1.0
immediately reward	1.0	1	1.0
reward the	1.0	1	1.0
horse .	1.0	1	1.0
its a	-7.599999999999999	7	-1.0857142857142856
a jeep	-1.8	1	-1.8
jeep !	-1.8	1	-1.8
as possible	1.7999999999999994	6	0.2999999999999999
possible ,	-0.6000000000000001	2	-0.30000000000000004
as the	87.45000000000002	92	0.9505434782608697
the dialogue	-2.2	1	-2.2
dialogue will	-2.2	1	-2.2
will certainly	-0.8000000000000003	2	-0.40000000000000013
certainly make	-2.2	1	-2.2
make you	-2.4	3	-0.7999999999999999
you squirm	-2.2	1	-2.2
squirm in	-2.2	1	-2.2
in your	1.8000000000000014	37	0.048648648648648686
your seat	-2.2	1	-2.2
seat .	-2.2	1	-2.2
I REALLY	-2.0	1	-2.0
REALLY DONT	-2.0	1	-2.0
DONT KNOW	-2.0	1	-2.0
KNOW SORRY	-2.0	1	-2.0
SORRY !	-2.0	1	-2.0
! !	-733.8000000000003	306	-2.3980392156862753
Find a	0.0	1	0.0
a practice	0.0	1	0.0
practice workbook	0.0	1	0.0
workbook .	0.0	1	0.0
We ten	-2.4	1	-2.4
ten started	-2.4	1	-2.4
started talking	-2.4	1	-2.4
talking online	-2.4	1	-2.4
online a	-2.4	1	-2.4
a lot	-4.3	62	-0.06935483870967742
lot ,	-2.4	1	-2.4
, then	-12.850000000000001	17	-0.7558823529411766
then the	-3.2000000000000006	10	-0.32000000000000006
the phone	-2.2	7	-0.31428571428571433
phone .	-2.8	2	-1.4
Who created	-1.6	1	-1.6
created him	-1.6	1	-1.6
him ,	-4.7	3	-1.5666666666666667
, you	-7.649999999996997	62	-0.12338709677414512
you grandfather	-1.6	1	-1.6
grandfather .	-1.6	1	-1.6
Then do	-2.4	1	-2.4
n't do	-14.8	8	-1.85
do that	-7.25	9	-0.8055555555555556
that !	-3.4	2	-1.7
Now ,	1.0	2	0.5
, a	9.48333333334	24	0.39513888888916665
a 7	-0.2	1	-0.2
7 month	-0.2	1	-0.2
month old	-0.2	1	-0.2
old cat	-0.2	1	-0.2
cat is	-1.8	4	-0.45
is still	12.45	25	0.498
still a	2.0000000000000004	6	0.3333333333333334
a kitten	-1.8	2	-0.9
kitten and	-0.2	1	-0.2
and growing	0.39999999999999997	2	0.19999999999999998
growing .	-0.2	1	-0.2
And the	5.0	10	0.5
the companies	3.2	2	1.6
companies usually	1.4	1	1.4
usually pay	1.4	1	1.4
pay for	3.1000000000000005	13	0.2384615384615385
for ads	1.4	1	1.4
ads on	2.9	2	1.45
on a	46.050000000000004	93	0.4951612903225807
a ``	1.4	1	1.4
`` per	1.4	1	1.4
per impression	1.4	1	1.4
impression ''	1.4	1	1.4
'' basis	1.4	1	1.4
basis .	1.0	5	0.2
to me	-6.25	36	-0.1736111111111111
me its	-1.6	1	-1.6
its just	-3.0	2	-1.5
just a	5.199999999999999	19	0.27368421052631575
a game	-7.2	7	-1.0285714285714287
game of	-1.6	1	-1.6
of luck	-5.2	3	-1.7333333333333334
luck ,	-4.0	3	-1.3333333333333333
, not	0.14999999999999947	14	0.010714285714285676
not much	-2.0	2	-1.0
much skill	-1.6	1	-1.6
skill need	-1.6	1	-1.6
need to	0.2000000000000004	68	0.0029411764705882413
to play	0.24999999999999956	11	0.022727272727272686
I guess	-13.950000000000001	8	-1.7437500000000001
guess I	-2.4	2	-1.2
I feel	-8.499999999999998	9	-0.9444444444444442
feel really	-1.8	1	-1.8
really sorry	-1.8	1	-1.8
sorry for	-1.8	1	-1.8
for him	2.0	8	0.25
him .	-12.0	19	-0.631578947368421
It happens	0.2	2	0.1
happens all	0.0	1	0.0
the time	10.383333333333	35	0.29666666666665714
time .	-16.200000000000003	36	-0.45000000000000007
You would	2.2	3	0.7333333333333334
would be	17.75	103	0.17233009708737865
be cited	0.6	1	0.6
cited for	0.6	1	0.6
for driving	0.6	1	0.6
driving without	0.6	1	0.6
without a	4.3999999999999995	7	0.6285714285714284
a license	0.6	1	0.6
license .	0.6	1	0.6
n't you	-17.8	10	-1.78
you think	3.4499999999999997	9	0.3833333333333333
think she	-4.1499999999999995	3	-1.383333333333333
she '	-4.4	2	-2.2
' ll	-47.99999999999999	43	-1.1162790697674416
ll know	-4.800000000000001	2	-2.4000000000000004
know already	-2.6	1	-2.6
already now	-2.6	1	-2.6
now ?	-2.6	1	-2.6
's the	-15.7	17	-0.9235294117647058
the start	7.8	11	0.7090909090909091
start of	7.0	10	0.7
of a	63.54999999999996	131	0.4851145038167936
a conversation	0.0	1	0.0
conversation that	0.0	1	0.0
that will	31.650000000000002	34	0.9308823529411765
will be	91.25000000000001	160	0.5703125000000001
be revealing	0.0	1	0.0
revealing none	0.0	1	0.0
none the	0.0	1	0.0
the less	3.2	3	1.0666666666666667
less .	-0.6000000000000001	3	-0.20000000000000004
I would	14.383333333333006	79	0.18206751054851905
would like	13.35	18	0.7416666666666667
like to	9.499999999999998	29	0.32758620689655166
be in	6.85	22	0.31136363636363634
in Disney	-0.8	1	-0.8
Disney Land	-0.8	1	-0.8
Land !	-0.8	1	-0.8
christians also	-1.4	1	-1.4
also have	-1.0	5	-0.2
have imaginary	-1.4	1	-1.4
imaginary brains	-1.4	1	-1.4
brains ,	-1.4	1	-1.4
, they	-11.599999999999998	29	-0.3999999999999999
re brains	-1.4	1	-1.4
brains are	-1.4	1	-1.4
are invisible	-1.4	1	-1.4
invisible too	-1.4	1	-1.4
a. AC	-0.666666666667	1	-0.666666666667
AC =	-0.666666666667	1	-0.666666666667
= AB+BC	-0.666666666667	1	-0.666666666667
AB+BC =	-0.666666666667	1	-0.666666666667
= 2	-1.2666666666670001	2	-0.6333333333335001
2 +6	-0.666666666667	1	-0.666666666667
+6 =	-0.666666666667	1	-0.666666666667
= 8	-1.2666666666670001	2	-0.6333333333335001
8 b	-0.666666666667	1	-0.666666666667
b .	-0.666666666667	1	-0.666666666667
The green	1.2	1	1.2
green leaf	1.2	1	1.2
leaf eventually	1.2	1	1.2
eventually turns	1.2	1	1.2
turns brown	1.2	1	1.2
brown and	1.2	1	1.2
and decays	1.2	1	1.2
decays .	1.2	1	1.2
There you	1.4	2	0.7
you will	2.383333333336	28	0.08511904761914287
will see	6.46666666667	11	0.5878787878790909
see all	2.0	3	0.6666666666666666
all your	5.95	5	1.19
your questions	1.05	3	0.35000000000000003
questions listed	0.8	1	0.8
listed .	1.4	2	0.7
Grow up	-3.6	2	-1.8
up and	-2.4	13	-0.1846153846153846
and then	0.20000000000000617	28	0.007142857142857363
then it	-3.8	4	-0.95
it will	2.9000000000000017	39	0.0743589743589744
be serious	-3.6	2	-1.8
serious and	-4.800000000000001	5	-0.9600000000000002
and you	-6.849999999999999	22	-0.3113636363636363
you can	-31.200000000000003	74	-0.42162162162162165
can talk	-2.2	1	-2.2
talk about	-4.6000000000000005	13	-0.35384615384615387
about it	-16.000000000000007	19	-0.8421052631578951
for me	-16.150000000000002	23	-0.7021739130434783
me this	-2.1999999999999997	3	-0.7333333333333333
this is	-0.18333333334000101	59	-0.0031073446328813733
a violation	1.4000000000000001	3	0.46666666666666673
violation waiting	-1.0	1	-1.0
waiting to	2.5999999999999996	4	0.6499999999999999
to happen	-2.6	2	-1.3
Vitamins are	-2.4	1	-2.4
are just	-15.75	13	-1.2115384615384615
just GREAT	-2.4	1	-2.4
GREAT !	-5.06666666667	2	-2.533333333335
ur 13	-2.6	1	-2.6
13 &	-2.6	1	-2.6
& have	-2.6	1	-2.6
an avater	-2.6	1	-2.6
avater that	-2.6	1	-2.6
that make	2.0000000000000004	5	0.4000000000000001
make u	-2.6	1	-2.6
u look	-2.6	1	-2.6
look 40	-2.6	1	-2.6
40 ?	-2.6	1	-2.6
current is	-0.2	2	-0.1
is the	31.71666666667	129	0.24586563307496126
the flow	-0.2	1	-0.2
flow of	-0.2	1	-0.2
of charge	-0.2	1	-0.2
charge .	1.4000000000000001	2	0.7000000000000001
You '	-15.650000000000002	17	-0.9205882352941178
' ve	-17.099999999999998	22	-0.7772727272727272
ve made	-0.4	1	-0.4
made some	1.05	3	0.35000000000000003
some friends	-0.4	1	-0.4
friends tonight	-0.4	1	-0.4
Which society	0.6	1	0.6
society are	0.6	1	0.6
you talking	0.85	2	0.425
talking about	-0.49999999999999967	13	-0.038461538461538436
about ?	-0.4	2	-0.2
( 1977	-1.75	1	-1.75
1977 ,	-1.75	1	-1.75
, Vol	-1.75	1	-1.75
Vol .	-1.75	1	-1.75
If that	-3.5999999999999996	2	-1.7999999999999998
that do	-2.5999999999999996	2	-1.2999999999999998
n't work	-7.3999999999999995	5	-1.48
work steal	-2.8	1	-2.8
steal from	-2.8	1	-2.8
from them	-3.5999999999999996	4	-0.8999999999999999
them .	-22.800000000000004	36	-0.6333333333333334
Maybe it	0.8	3	0.26666666666666666
will help	6.4	7	0.9142857142857144
help .	0.8666666666699998	11	0.0787878787881818
Grifter (	0.25	1	0.25
) Earn	1.0	2	0.5
Earn $	1.0	2	0.5
$ 200,000	2.85	2	1.425
200,000 in	2.05	2	1.025
in Insurance	0.25	1	0.25
Insurance Fraud	0.25	1	0.25
Fraud .	0.25	1	0.25
Murphy :	-4.8	3	-1.5999999999999999
: What	-3.0	1	-3.0
What ?	-3.0	1	-3.0
In men	0.2	1	0.2
men the	0.2	1	0.2
the infection	0.2	1	0.2
infection is	0.2	1	0.2
is usually	2.05	5	0.41
usually due	0.2	1	0.2
due obstruction	0.2	1	0.2
obstruction to	0.2	1	0.2
to urine	0.2	1	0.2
urine eg	0.2	1	0.2
eg .	0.2	1	0.2
Linda Healy	1.6	1	1.6
Healy was	1.6	1	1.6
was the	15.666666666667004	39	0.40170940170941033
the first	46.25	74	0.625
first fatality	1.6	1	1.6
fatality .	1.6	1	1.6
Mankind will	1.0	1	1.0
will once	1.0	1	1.0
once again	-0.3999999999999999	2	-0.19999999999999996
again enjoy	1.0	1	1.0
enjoy the	-0.19999999999999996	2	-0.09999999999999998
the earthly	1.0	1	1.0
earthly paradise	1.0	1	1.0
paradise .	1.0	1	1.0
If these	5.4	3	1.8
these goals	2.4	1	2.4
goals are	2.4	1	2.4
are not	22.5	49	0.45918367346938777
not achieved	2.4	1	2.4
achieved ,	2.4	1	2.4
, pharmacotherapy	2.4	1	2.4
pharmacotherapy can	2.4	1	2.4
can be	42.433333333337	59	0.7192090395480848
be offered	5.6	3	1.8666666666666665
offered .	2.4	2	1.2
Best of	-4.199999999999999	3	-1.3999999999999997
luck to	-1.0	2	-0.5
to you	7.349999999999996	42	0.1749999999999999
It had	1.2000000000000002	4	0.30000000000000004
had a	17.0	31	0.5483870967741935
a chief	1.6	1	1.6
chief and	1.6	1	1.6
and a	77.78333333332999	90	0.8642592592592221
a council	2.4000000000000004	2	1.2000000000000002
council who	1.6	1	1.6
who made	-0.1499999999999999	2	-0.07499999999999996
made decisions	1.6	1	1.6
decisions for	1.6	1	1.6
for the	247.1833333333371	295	0.8379096045197867
the Cherokee	3.25	3	1.0833333333333333
Cherokee Nation	4.050000000000001	3	1.3500000000000003
Nation .	3.0	2	1.5
Yes ,	-0.1000000000000012	36	-0.0027777777777778113
, your	-5.500000000000002	10	-0.5500000000000002
your mind	0.30000000000000004	7	0.042857142857142864
mind .	-8.7	5	-1.7399999999999998
in 3	-0.7999999999999998	3	-0.2666666666666666
3 weeks	-2.5999999999999996	3	-0.8666666666666666
weeks ,	0.0	2	0.0
they take	-1.4	1	-1.4
take him	-2.4	3	-0.7999999999999999
him to	8.600000000000001	31	0.2774193548387097
the hospital	-0.9499999999999997	4	-0.23749999999999993
hospital .	-1.25	3	-0.4166666666666667
They CAN	-0.75	1	-0.75
CAN NOT	-3.75	2	-1.875
NOT make	-0.75	1	-0.75
make him	1.25	3	0.4166666666666667
him contact	-0.75	1	-0.75
contact you	-0.35	2	-0.175
you .	-38.84999999999999	88	-0.4414772727272726
The ``	-2.0	2	-1.0
`` cure	0.0	1	0.0
cure ''	0.0	1	0.0
'' is	-3.0	4	-0.75
usually blood	0.0	1	0.0
blood thinners	0.0	1	0.0
thinners .	0.0	1	0.0
http://www.fodors.com/miniguides/mgresults.cfm?destination=trinidad_tobago@158 try	-2.0	1	-2.0
try this	-3.8	3	-1.2666666666666666
this link	-1.8	2	-0.9
Vishnu ...	-1.0	1	-1.0
... god	-1.0	1	-1.0
god of	-2.4	2	-1.2
of all	1.9999999999999998	18	0.1111111111111111
all earths	-1.0	1	-1.0
You a	-2.6	1	-2.6
a little	-18.6	32	-0.58125
little confused	-2.6	1	-2.6
confused ?	-2.6	1	-2.6
? ?	-192.78333333333006	90	-2.1420370370370008
me it	-2.4	1	-2.4
's 80	-2.4	1	-2.4
80 's	-4.85	3	-1.6166666666666665
's and	-2.55	3	-0.85
and 90	-2.4	1	-2.4
90 's	-2.4	1	-2.4
's .	-11.049999999999999	9	-1.2277777777777776
Unless a	-0.6	1	-0.6
a war	-0.6	2	-0.3
war is	-0.6	2	-0.3
is won	-0.6	1	-0.6
won within	-0.6	1	-0.6
within a	3.8	7	0.5428571428571428
a year	11.75	24	0.4895833333333333
year the	-0.6	1	-0.6
the public	27.400000000000002	25	1.096
public wo	-0.6	1	-0.6
wo n't	-25.1	22	-1.1409090909090909
n't accept	-0.6	1	-0.6
accept it	-0.6	1	-0.6
Cut your	-2.25	1	-2.25
your toes	-2.85	2	-1.425
toes off	-2.25	1	-2.25
off !	-7.75	3	-2.5833333333333335
Check out	-4.46666666667	6	-0.744444444445
out my	-1.8	1	-1.8
my blog	-1.8	1	-1.8
blog .	-1.8	1	-1.8
Self -	1.25	1	1.25
- realization	1.25	1	1.25
realization is	1.25	1	1.25
is much	4.4	3	1.4666666666666668
much easy	1.25	1	1.25
easy then	1.25	1	1.25
then framing	1.25	1	1.25
framing and	1.25	1	1.25
and execution	1.25	1	1.25
execution of	2.25	2	1.125
of tricks	1.25	1	1.25
tricks .	1.25	1	1.25
I do	-67.48333333333301	71	-0.9504694835680705
n't know	-36.2	25	-1.4480000000000002
know if	-1.5000000000000002	12	-0.12500000000000003
if this	-1.1	7	-0.15714285714285717
this can	1.5	2	0.75
be repaired	-0.25	1	-0.25
repaired .	-0.25	1	-0.25
to :	-1.333333333333	2	-0.6666666666665
: http://www.shop.bt.com/content/ebiz/btshop/images/bt_userguide.gif	-1.0	1	-1.0
What a	-7.0	3	-2.3333333333333335
a fu	-2.8	1	-2.8
fu *	-2.8	1	-2.8
* cking	-2.8	1	-2.8
cking animal	-2.8	1	-2.8
animal she	-2.8	1	-2.8
she is	-7.600000000000001	21	-0.36190476190476195
is .	-12.85	13	-0.9884615384615384
only if	-4.199999999999999	4	-1.0499999999999998
if its	-3.1999999999999997	6	-0.5333333333333333
a boy	-1.8	1	-1.8
boy but	-1.8	1	-1.8
but if	-2.616666666667	6	-0.4361111111111667
if it	-14.799999999999999	18	-0.8222222222222222
it is	8.766666666669995	130	0.06743589743592304
a girl	-1.7999999999999998	4	-0.44999999999999996
girl shemna	-1.8	1	-1.8
A medical	1.0	1	1.0
medical or	1.0	1	1.0
or pharmaceutical	1.0	1	1.0
pharmaceutical researcher	1.0	1	1.0
researcher .	1.0	1	1.0
Talk in	-1.6	1	-1.6
in complete	-1.6	1	-1.6
complete sentences	-1.6	1	-1.6
sentences -	-1.6	1	-1.6
- sounds	-1.6	1	-1.6
sounds funny	-1.6	1	-1.6
funny but	-1.6	1	-1.6
but it	-2.2666666666700035	28	-0.08095238095250012
it works	-3.8000000000000003	2	-1.9000000000000001
works .	-1.6	1	-1.6
Where did	-2.8	2	-1.4
did you	-10.0	9	-1.1111111111111112
you check	-0.9000000000000001	3	-0.30000000000000004
check your	-2.2	2	-1.1
your connection	-1.2	1	-1.2
connection speed	-1.2	1	-1.2
speed ?	-1.2	1	-1.2
Dogs do	-0.2	1	-0.2
do have	2.8	3	0.9333333333333332
have feelings	-2.4000000000000004	2	-1.2000000000000002
feelings .	-2.4000000000000004	3	-0.8000000000000002
the slave	-0.2	1	-0.2
slave trade	-0.2	1	-0.2
trade of	-0.2	1	-0.2
the US	2.6000000000000005	9	0.288888888888889
The first	-0.6000000000000002	9	-0.0666666666666667
first challenge	-2.15	2	-1.075
challenge is	-0.4	1	-0.4
is to	15.250000000000002	36	0.42361111111111116
do a	-3.8499999999999996	15	-0.25666666666666665
a tabletop	-0.4	1	-0.4
tabletop (	-0.4	1	-0.4
( square	-0.4	1	-0.4
square )	-0.4	1	-0.4
) off	-0.4	1	-0.4
off the	8.05	23	0.35000000000000003
the kicker	-2.0	2	-1.0
kicker .	-0.4	1	-0.4
I hope	-11.133333333329997	37	-0.30090090090081073
hope they	-7.199999999999999	3	-2.4
they did	-1.6	9	-0.17777777777777778
n't kill	-3.8	2	-1.9
kill him	-3.8	2	-1.9
him off	-3.0	1	-3.0
you see	-3.4000000000000004	8	-0.42500000000000004
see some	-0.2	1	-0.2
some point	-0.2	2	-0.1
point them	-0.2	1	-0.2
them out	-6.4	5	-1.28
out .	-27.15	23	-1.1804347826086956
I am	37.25000000000001	96	0.3880208333333334
am the	-1.35	3	-0.45
the maha	-0.4	1	-0.4
maha jiva	-0.4	1	-0.4
jiva atman	-0.4	1	-0.4
atman the	-0.4	1	-0.4
the world	6.700000000000001	29	0.23103448275862074
world has	-1.4	2	-0.7
has awaited	-0.4	1	-0.4
awaited .	-0.4	1	-0.4
The book	2.2	3	0.7333333333333334
book is	1.4000000000000001	2	0.7000000000000001
is spiral	1.6	1	1.6
spiral bound	1.6	1	1.6
bound ,	1.6	1	1.6
, and	31.58333333333298	126	0.25066137566137286
and it	13.249999999999998	34	0.3897058823529411
is priceless	1.6	1	1.6
