n-gram	total_score	total_occurrences	average_score
has anything to	2.6	3	0.8666666666666667
anything to do	2.2	4	0.55
to do with	-1.2499999999999998	16	-0.07812499999999999
do with it	-0.7999999999999998	4	-0.19999999999999996
with it .	0.15000000000000013	5	0.030000000000000027
`` interesing !	-3.0	1	-3.0
interesing ! ''	-3.0	1	-3.0
* Contrary to	-0.2	1	-0.2
Contrary to popular	-0.2	1	-0.2
to popular belief	-0.2	1	-0.2
popular belief ,	-0.2	1	-0.2
belief , the	-0.2	1	-0.2
, the Titanic	-0.2	1	-0.2
the Titanic did	-0.2	1	-0.2
Titanic did n't	-0.2	1	-0.2
did n't hit	-0.2	1	-0.2
n't hit an	-0.2	1	-0.2
hit an iceberg	-0.2	1	-0.2
an iceberg .	-0.2	1	-0.2
Do n't drive	-1.0	1	-1.0
n't drive her	-1.0	1	-1.0
drive her to	-1.0	1	-1.0
her to an	-1.0	1	-1.0
to an emergency	-2.6	2	-1.3
an emergency room	-1.0	1	-1.0
emergency room by	-1.0	1	-1.0
room by car	-1.0	1	-1.0
by car .	-1.0	1	-1.0
probably best to	-1.8	1	-1.8
best to check	-1.8	1	-1.8
to check out	-1.8	1	-1.8
check out their	-1.8	1	-1.8
out their web	-1.8	1	-1.8
their web site	-1.8	1	-1.8
web site to	-1.8	1	-1.8
site to be	-1.8	1	-1.8
to be on	-3.4	4	-0.85
be on the	-1.2	5	-0.24
on the safe	-1.8	1	-1.8
the safe side	-1.8	1	-1.8
Instructors are responsible	1.8	1	1.8
are responsible for	5.2	3	1.7333333333333334
responsible for establishing	1.8	1	1.8
for establishing and	1.8	1	1.8
establishing and publishing	1.8	1	1.8
and publishing the	2.0	2	1.0
publishing the grading	1.8	1	1.8
the grading scale	1.8	1	1.8
grading scale applicable	1.8	1	1.8
scale applicable to	1.8	1	1.8
applicable to their	1.8	1	1.8
to their courses	1.8	1	1.8
their courses .	1.8	1	1.8
Why are you	-1.4	1	-1.4
are you wasting	-1.4	1	-1.4
you wasting your	-1.4	1	-1.4
wasting your time	-1.4	1	-1.4
your time wondering	-1.4	1	-1.4
time wondering who	-1.4	1	-1.4
wondering who to	-1.4	1	-1.4
who to be	-1.4	1	-1.4
to be with	-2.4	2	-1.2
be with .	-1.4	1	-1.4
Go to Yahoo	-0.6	1	-0.6
to Yahoo and	-0.6	1	-0.6
Yahoo and type	-0.6	1	-0.6
and type in	-0.6	1	-0.6
type in Yahoo	-0.6	1	-0.6
in Yahoo toolbar	-0.6	1	-0.6
Yahoo toolbar .	-0.6	1	-0.6
Well they '	-1.8	1	-1.8
they ' re	-8.600000000000001	7	-1.2285714285714289
' re are	-1.8	1	-1.8
re are laws	-1.8	1	-1.8
are laws for	-1.8	1	-1.8
laws for this	-1.8	1	-1.8
for this country	-1.8	1	-1.8
this country .	0.0	2	0.0
still have some	-1.6	1	-1.6
have some time	-1.6	1	-1.6
some time to	-1.0	2	-0.5
time to grow	-1.6	1	-1.6
to grow up	-1.4000000000000001	2	-0.7000000000000001
grow up .	-1.6	1	-1.6
For the exercise	1.4	1	1.4
the exercise ,	1.4	1	1.4
exercise , consider	1.4	1	1.4
, consider it	1.4	1	1.4
consider it a	3.0	2	1.5
it a priority	1.4	1	1.4
a priority to	1.4	1	1.4
priority to include	1.4	1	1.4
to include it	1.4	1	1.4
include it into	1.4	1	1.4
it into your	1.4	1	1.4
into your routine	1.4	1	1.4
your routine .	1.4	1	1.4
When the horse	1.0	1	1.0
the horse stop	1.0	1	1.0
horse stop 's	1.0	1	1.0
stop 's ,	1.0	1	1.0
's , immediately	1.0	1	1.0
, immediately reward	1.0	1	1.0
immediately reward the	1.0	1	1.0
reward the horse	1.0	1	1.0
the horse .	1.0	1	1.0
its a jeep	-1.8	1	-1.8
a jeep !	-1.8	1	-1.8
as possible ,	-2.2	1	-2.2
possible , as	-2.2	1	-2.2
, as the	-1.7500000000000002	3	-0.5833333333333334
as the dialogue	-2.2	1	-2.2
the dialogue will	-2.2	1	-2.2
dialogue will certainly	-2.2	1	-2.2
will certainly make	-2.2	1	-2.2
certainly make you	-2.2	1	-2.2
make you squirm	-2.2	1	-2.2
you squirm in	-2.2	1	-2.2
squirm in your	-2.2	1	-2.2
in your seat	-2.2	1	-2.2
your seat .	-2.2	1	-2.2
I REALLY DONT	-2.0	1	-2.0
REALLY DONT KNOW	-2.0	1	-2.0
DONT KNOW SORRY	-2.0	1	-2.0
KNOW SORRY !	-2.0	1	-2.0
SORRY ! !	-2.0	1	-2.0
! ! !	-469.00000000000057	187	-2.5080213903743345
Find a practice	0.0	1	0.0
a practice workbook	0.0	1	0.0
practice workbook .	0.0	1	0.0
We ten started	-2.4	1	-2.4
ten started talking	-2.4	1	-2.4
started talking online	-2.4	1	-2.4
talking online a	-2.4	1	-2.4
online a lot	-2.4	1	-2.4
a lot ,	-2.4	1	-2.4
lot , then	-2.4	1	-2.4
, then the	-4.4	3	-1.4666666666666668
then the phone	-2.4	1	-2.4
the phone .	-2.4	1	-2.4
Who created him	-1.6	1	-1.6
created him ,	-1.6	1	-1.6
him , you	-1.6	1	-1.6
, you grandfather	-1.6	1	-1.6
you grandfather .	-1.6	1	-1.6
Then do n't	-2.4	1	-2.4
do n't do	-5.0	2	-2.5
n't do that	-2.4	1	-2.4
do that !	-2.4	1	-2.4
Now , a	-0.2	1	-0.2
, a 7	-0.2	1	-0.2
a 7 month	-0.2	1	-0.2
7 month old	-0.2	1	-0.2
month old cat	-0.2	1	-0.2
old cat is	-0.2	1	-0.2
cat is still	-0.2	1	-0.2
is still a	-0.1999999999999999	5	-0.03999999999999998
still a kitten	-0.2	1	-0.2
a kitten and	-0.2	1	-0.2
kitten and growing	-0.2	1	-0.2
and growing .	-0.2	1	-0.2
And the companies	1.4	1	1.4
the companies usually	1.4	1	1.4
companies usually pay	1.4	1	1.4
usually pay for	1.4	1	1.4
pay for ads	1.4	1	1.4
for ads on	1.4	1	1.4
ads on a	1.4	1	1.4
on a ``	1.4	1	1.4
a `` per	1.4	1	1.4
`` per impression	1.4	1	1.4
per impression ''	1.4	1	1.4
impression '' basis	1.4	1	1.4
'' basis .	1.4	1	1.4
to me its	-1.6	1	-1.6
me its just	-1.6	1	-1.6
its just a	-1.6	1	-1.6
just a game	-1.6	1	-1.6
a game of	-1.6	1	-1.6
game of luck	-1.6	1	-1.6
of luck ,	-1.6	1	-1.6
luck , not	-1.6	1	-1.6
, not much	-1.6	1	-1.6
not much skill	-1.6	1	-1.6
much skill need	-1.6	1	-1.6
skill need to	-1.6	1	-1.6
need to play	-1.6	1	-1.6
I guess I	-1.8	1	-1.8
guess I feel	-1.8	1	-1.8
I feel really	-1.8	1	-1.8
feel really sorry	-1.8	1	-1.8
really sorry for	-1.8	1	-1.8
sorry for him	-1.8	1	-1.8
for him .	-1.6	2	-0.8
It happens all	0.0	1	0.0
happens all the	0.0	1	0.0
all the time	-3.8	7	-0.5428571428571428
the time .	-1.7999999999999998	7	-0.2571428571428571
You would be	0.6	1	0.6
would be cited	0.6	1	0.6
be cited for	0.6	1	0.6
cited for driving	0.6	1	0.6
for driving without	0.6	1	0.6
driving without a	0.6	1	0.6
without a license	0.6	1	0.6
a license .	0.6	1	0.6
do n't you	-9.6	5	-1.92
n't you think	-2.6	1	-2.6
you think she	-2.6	1	-2.6
think she '	-2.6	1	-2.6
she ' ll	-4.4	2	-2.2
' ll know	-4.800000000000001	2	-2.4000000000000004
ll know already	-2.6	1	-2.6
know already now	-2.6	1	-2.6
already now ?	-2.6	1	-2.6
it 's the	-1.66666666667	2	-0.833333333335
's the start	0.0	1	0.0
the start of	7.0	10	0.7
start of a	0.0	1	0.0
of a conversation	0.0	1	0.0
a conversation that	0.0	1	0.0
conversation that will	0.0	1	0.0
that will be	7.3999999999999995	8	0.9249999999999999
will be revealing	0.0	1	0.0
be revealing none	0.0	1	0.0
revealing none the	0.0	1	0.0
none the less	0.0	1	0.0
the less .	0.0	1	0.0
I would like	6.400000000000001	11	0.5818181818181819
would like to	9.25	13	0.7115384615384616
like to be	-0.8	1	-0.8
to be in	6.25	11	0.5681818181818182
be in Disney	-0.8	1	-0.8
in Disney Land	-0.8	1	-0.8
Disney Land !	-0.8	1	-0.8
christians also have	-1.4	1	-1.4
also have imaginary	-1.4	1	-1.4
have imaginary brains	-1.4	1	-1.4
imaginary brains ,	-1.4	1	-1.4
brains , they	-1.4	1	-1.4
, they '	-1.4	2	-0.7
' re brains	-1.4	1	-1.4
re brains are	-1.4	1	-1.4
brains are invisible	-1.4	1	-1.4
are invisible too	-1.4	1	-1.4
a. AC =	-0.666666666667	1	-0.666666666667
AC = AB+BC	-0.666666666667	1	-0.666666666667
= AB+BC =	-0.666666666667	1	-0.666666666667
AB+BC = 2	-0.666666666667	1	-0.666666666667
= 2 +6	-0.666666666667	1	-0.666666666667
2 +6 =	-0.666666666667	1	-0.666666666667
+6 = 8	-0.666666666667	1	-0.666666666667
= 8 b	-0.666666666667	1	-0.666666666667
8 b .	-0.666666666667	1	-0.666666666667
The green leaf	1.2	1	1.2
green leaf eventually	1.2	1	1.2
leaf eventually turns	1.2	1	1.2
eventually turns brown	1.2	1	1.2
turns brown and	1.2	1	1.2
brown and decays	1.2	1	1.2
and decays .	1.2	1	1.2
There you will	0.8	1	0.8
you will see	5.66666666667	5	1.133333333334
will see all	2.2	2	1.1
see all your	2.2	2	1.1
all your questions	0.8	1	0.8
your questions listed	0.8	1	0.8
questions listed .	0.8	1	0.8
Grow up and	-2.2	1	-2.2
up and then	-2.2	1	-2.2
and then it	-4.0	2	-2.0
then it will	-2.0	3	-0.6666666666666666
it will be	0.0	8	0.0
will be serious	-2.2	1	-2.2
be serious and	-2.2	1	-2.2
serious and you	-2.2	1	-2.2
and you can	-0.40000000000000036	3	-0.13333333333333344
you can talk	-2.2	1	-2.2
can talk about	-2.2	1	-2.2
talk about it	-2.0	3	-0.6666666666666666
for me this	-1.0	1	-1.0
me this is	-1.0	1	-1.0
this is a	5.73333333333	13	0.4410256410253846
is a violation	-1.0	1	-1.0
a violation waiting	-1.0	1	-1.0
violation waiting to	-1.0	1	-1.0
waiting to happen	-1.0	1	-1.0
Vitamins are just	-2.4	1	-2.4
are just GREAT	-2.4	1	-2.4
just GREAT !	-2.4	1	-2.4
ur 13 &	-2.6	1	-2.6
13 & have	-2.6	1	-2.6
& have an	-2.6	1	-2.6
have an avater	-2.6	1	-2.6
an avater that	-2.6	1	-2.6
avater that make	-2.6	1	-2.6
that make u	-2.6	1	-2.6
make u look	-2.6	1	-2.6
u look 40	-2.6	1	-2.6
look 40 ?	-2.6	1	-2.6
current is the	-0.2	1	-0.2
is the flow	-0.2	1	-0.2
the flow of	-0.2	1	-0.2
flow of charge	-0.2	1	-0.2
of charge .	-0.2	1	-0.2
You ' ve	-0.4	1	-0.4
' ve made	-0.4	1	-0.4
ve made some	-0.4	1	-0.4
made some friends	-0.4	1	-0.4
some friends tonight	-0.4	1	-0.4
Which society are	0.6	1	0.6
society are you	0.6	1	0.6
are you talking	0.6	1	0.6
you talking about	0.85	2	0.425
talking about ?	0.6	1	0.6
( 1977 ,	-1.75	1	-1.75
1977 , Vol	-1.75	1	-1.75
, Vol .	-1.75	1	-1.75
If that do	-2.8	1	-2.8
that do n't	-2.8	1	-2.8
do n't work	-2.8	1	-2.8
n't work steal	-2.8	1	-2.8
work steal from	-2.8	1	-2.8
steal from them	-2.8	1	-2.8
from them .	-3.1999999999999997	3	-1.0666666666666667
Maybe it will	0.8	3	0.26666666666666666
it will help	0.0	1	0.0
will help .	0.0	1	0.0
Grifter ( 10	0.25	1	0.25
10 ) Earn	1.0	2	0.5
) Earn $	1.0	2	0.5
Earn $ 200,000	0.25	1	0.25
$ 200,000 in	0.25	1	0.25
200,000 in Insurance	0.25	1	0.25
in Insurance Fraud	0.25	1	0.25
Insurance Fraud .	0.25	1	0.25
Murphy : What	-3.0	1	-3.0
: What ?	-3.0	1	-3.0
In men the	0.2	1	0.2
men the infection	0.2	1	0.2
the infection is	0.2	1	0.2
infection is usually	0.2	1	0.2
is usually due	0.2	1	0.2
usually due obstruction	0.2	1	0.2
due obstruction to	0.2	1	0.2
obstruction to urine	0.2	1	0.2
to urine eg	0.2	1	0.2
urine eg .	0.2	1	0.2
Linda Healy was	1.6	1	1.6
Healy was the	1.6	1	1.6
was the first	1.2000000000000002	2	0.6000000000000001
the first fatality	1.6	1	1.6
first fatality .	1.6	1	1.6
Mankind will once	1.0	1	1.0
will once again	1.0	1	1.0
once again enjoy	1.0	1	1.0
again enjoy the	1.0	1	1.0
enjoy the earthly	1.0	1	1.0
the earthly paradise	1.0	1	1.0
earthly paradise .	1.0	1	1.0
If these goals	2.4	1	2.4
these goals are	2.4	1	2.4
goals are not	2.4	1	2.4
are not achieved	2.4	1	2.4
not achieved ,	2.4	1	2.4
achieved , pharmacotherapy	2.4	1	2.4
, pharmacotherapy can	2.4	1	2.4
pharmacotherapy can be	2.4	1	2.4
can be offered	2.4	1	2.4
be offered .	2.4	1	2.4
Best of luck	-3.5999999999999996	2	-1.7999999999999998
of luck to	-2.4	1	-2.4
luck to you	-1.0	2	-0.5
It had a	1.6	1	1.6
had a chief	1.6	1	1.6
a chief and	1.6	1	1.6
chief and a	1.6	1	1.6
and a council	1.6	1	1.6
a council who	1.6	1	1.6
council who made	1.6	1	1.6
who made decisions	1.6	1	1.6
made decisions for	1.6	1	1.6
decisions for the	1.6	1	1.6
for the Cherokee	1.6	1	1.6
the Cherokee Nation	1.85	2	0.925
Cherokee Nation .	1.6	1	1.6
Yes , your	-0.30000000000000004	2	-0.15000000000000002
, your mind	-1.5	1	-1.5
your mind .	-1.5	1	-1.5
in 3 weeks	-1.2	2	-0.6
3 weeks ,	-1.4	1	-1.4
weeks , they	-1.4	1	-1.4
, they take	-1.4	1	-1.4
they take him	-1.4	1	-1.4
take him to	-3.0	2	-1.5
him to the	-2.6	4	-0.65
to the hospital	-1.2	2	-0.6
the hospital .	0.3500000000000001	2	0.17500000000000004
They CAN NOT	-0.75	1	-0.75
CAN NOT make	-0.75	1	-0.75
NOT make him	-0.75	1	-0.75
make him contact	-0.75	1	-0.75
him contact you	-0.75	1	-0.75
contact you .	-0.75	1	-0.75
The `` cure	0.0	1	0.0
`` cure ''	0.0	1	0.0
cure '' is	0.0	1	0.0
'' is usually	0.0	1	0.0
is usually blood	0.0	1	0.0
usually blood thinners	0.0	1	0.0
blood thinners .	0.0	1	0.0
http://www.fodors.com/miniguides/mgresults.cfm?destination=trinidad_tobago@158 try this	-2.0	1	-2.0
try this link	-2.0	1	-2.0
Vishnu ... god	-1.0	1	-1.0
... god of	-1.0	1	-1.0
god of all	-1.0	1	-1.0
of all earths	-1.0	1	-1.0
You a little	-2.6	1	-2.6
a little confused	-2.6	1	-2.6
little confused ?	-2.6	1	-2.6
confused ? ?	-2.6	1	-2.6
? ? ?	-122.04999999999994	51	-2.39313725490196
for me it	-2.4	1	-2.4
me it 's	-2.4	1	-2.4
it 's 80	-2.4	1	-2.4
's 80 's	-2.4	1	-2.4
80 's and	-2.4	1	-2.4
's and 90	-2.4	1	-2.4
and 90 's	-2.4	1	-2.4
90 's .	-2.4	1	-2.4
Unless a war	-0.6	1	-0.6
a war is	-0.6	1	-0.6
war is won	-0.6	1	-0.6
is won within	-0.6	1	-0.6
won within a	-0.6	1	-0.6
within a year	-0.6	1	-0.6
a year the	-0.6	1	-0.6
year the public	-0.6	1	-0.6
the public wo	-0.6	1	-0.6
public wo n't	-0.6	1	-0.6
wo n't accept	-0.6	1	-0.6
n't accept it	-0.6	1	-0.6
accept it .	-0.6	1	-0.6
Cut your toes	-2.25	1	-2.25
your toes off	-2.25	1	-2.25
toes off !	-2.25	1	-2.25
off ! !	-5.25	2	-2.625
Check out my	-1.8	1	-1.8
out my blog	-1.8	1	-1.8
my blog .	-1.8	1	-1.8
Self - realization	1.25	1	1.25
- realization is	1.25	1	1.25
realization is much	1.25	1	1.25
is much easy	1.25	1	1.25
much easy then	1.25	1	1.25
easy then framing	1.25	1	1.25
then framing and	1.25	1	1.25
framing and execution	1.25	1	1.25
and execution of	1.25	1	1.25
execution of tricks	1.25	1	1.25
of tricks .	1.25	1	1.25
I do n't	-54.3	40	-1.3575
do n't know	-32.800000000000004	22	-1.4909090909090912
n't know if	-2.5	2	-1.25
know if this	-0.25	1	-0.25
if this can	-0.25	1	-0.25
this can be	-0.25	1	-0.25
can be repaired	-0.25	1	-0.25
be repaired .	-0.25	1	-0.25
Go to :	-1.0	1	-1.0
to : http://www.shop.bt.com/content/ebiz/btshop/images/bt_userguide.gif	-1.0	1	-1.0
What a fu	-2.8	1	-2.8
a fu *	-2.8	1	-2.8
fu * cking	-2.8	1	-2.8
* cking animal	-2.8	1	-2.8
cking animal she	-2.8	1	-2.8
animal she is	-2.8	1	-2.8
she is .	-2.8	1	-2.8
only if its	-1.8	1	-1.8
if its a	-4.6	3	-1.5333333333333332
its a boy	-1.8	1	-1.8
a boy but	-1.8	1	-1.8
boy but if	-1.8	1	-1.8
but if it	-1.8	1	-1.8
if it is	-4.8	3	-1.5999999999999999
it is a	4.050000000000001	11	0.3681818181818182
is a girl	-1.8	1	-1.8
a girl shemna	-1.8	1	-1.8
A medical or	1.0	1	1.0
medical or pharmaceutical	1.0	1	1.0
or pharmaceutical researcher	1.0	1	1.0
pharmaceutical researcher .	1.0	1	1.0
Talk in complete	-1.6	1	-1.6
in complete sentences	-1.6	1	-1.6
complete sentences -	-1.6	1	-1.6
sentences - sounds	-1.6	1	-1.6
- sounds funny	-1.6	1	-1.6
sounds funny but	-1.6	1	-1.6
funny but it	-1.6	1	-1.6
but it works	-3.8000000000000003	2	-1.9000000000000001
it works .	-1.6	1	-1.6
Where did you	-2.8	2	-1.4
did you check	-1.2	1	-1.2
you check your	-1.2	1	-1.2
check your connection	-1.2	1	-1.2
your connection speed	-1.2	1	-1.2
connection speed ?	-1.2	1	-1.2
Dogs do have	-0.2	1	-0.2
do have feelings	-0.2	1	-0.2
have feelings .	-2.4000000000000004	2	-1.2000000000000002
the slave trade	-0.2	1	-0.2
slave trade of	-0.2	1	-0.2
trade of the	-0.2	1	-0.2
of the US	-0.2	1	-0.2
The first challenge	-0.4	1	-0.4
first challenge is	-0.4	1	-0.4
challenge is to	-0.4	1	-0.4
is to do	-0.4	1	-0.4
to do a	-0.6000000000000001	2	-0.30000000000000004
do a tabletop	-0.4	1	-0.4
a tabletop (	-0.4	1	-0.4
tabletop ( square	-0.4	1	-0.4
( square )	-0.4	1	-0.4
square ) off	-0.4	1	-0.4
) off the	-0.4	1	-0.4
off the kicker	-2.0	2	-1.0
the kicker .	-0.4	1	-0.4
I hope they	-3.0	1	-3.0
hope they did	-3.0	1	-3.0
they did n't	-4.8	4	-1.2
did n't kill	-3.0	1	-3.0
n't kill him	-3.8	2	-1.9
kill him off	-3.0	1	-3.0
him off !	-3.0	1	-3.0
if you see	-0.2	1	-0.2
you see some	-0.2	1	-0.2
see some point	-0.2	1	-0.2
some point them	-0.2	1	-0.2
point them out	-0.2	1	-0.2
them out .	-4.800000000000001	3	-1.6000000000000003
I am the	-1.35	3	-0.45
am the maha	-0.4	1	-0.4
the maha jiva	-0.4	1	-0.4
maha jiva atman	-0.4	1	-0.4
jiva atman the	-0.4	1	-0.4
atman the world	-0.4	1	-0.4
the world has	-1.4	2	-0.7
world has awaited	-0.4	1	-0.4
has awaited .	-0.4	1	-0.4
The book is	1.6	1	1.6
book is spiral	1.6	1	1.6
is spiral bound	1.6	1	1.6
spiral bound ,	1.6	1	1.6
bound , and	1.6	1	1.6
, and it	5.6	7	0.7999999999999999
and it is	1.6	7	0.2285714285714286
it is priceless	1.6	1	1.6
is priceless .	1.6	1	1.6
I think there	-0.40000000000000024	3	-0.13333333333333341
think there could	-2.2	1	-2.2
there could be	0.3999999999999997	3	0.13333333333333322
could be but	-2.2	1	-2.2
be but men	-2.2	1	-2.2
but men do	-2.2	1	-2.2
men do not	-2.2	1	-2.2
do not like	-2.2	1	-2.2
not like that	-2.2	1	-2.2
like that they	-2.2	1	-2.2
that they always	-2.2	1	-2.2
they always wo	-2.2	1	-2.2
always wo n't	-2.2	1	-2.2
wo n't more	-2.2	1	-2.2
-------------------------------------------------------------------------------- The cell	0.0	1	0.0
The cell is	0.0	1	0.0
cell is the	0.0	1	0.0
is the smallest	0.0	1	0.0
the smallest unit	0.0	1	0.0
smallest unit of	0.0	1	0.0
unit of biological	0.0	1	0.0
of biological organisation	0.0	1	0.0
biological organisation that	0.0	1	0.0
organisation that biologists	0.0	1	0.0
that biologists consider	0.0	1	0.0
biologists consider alive	0.0	1	0.0
consider alive .	0.0	1	0.0
Looking back on	-1.2	1	-1.2
back on it	-1.2	1	-1.2
on it I	-1.2	1	-1.2
it I had	-1.2	1	-1.2
I had a	0.3999999999999999	4	0.09999999999999998
had a terrific	-1.2	1	-1.2
a terrific childhood	-1.2	1	-1.2
terrific childhood and	-1.2	1	-1.2
childhood and teen	-1.2	1	-1.2
and teen years	-1.2	1	-1.2
teen years .	-1.2	1	-1.2
My brother did	-0.6	1	-0.6
brother did one	-0.6	1	-0.6
did one and	-0.6	1	-0.6
one and signed	-0.6	1	-0.6
and signed up	-0.6	1	-0.6
signed up for	-0.6	1	-0.6
up for the	0.0	3	0.0
for the ``	-0.6	1	-0.6
the `` Promo	-0.6	1	-0.6
`` Promo ''	-0.6	1	-0.6
Promo '' offers	-0.6	1	-0.6
'' offers .	-0.6	1	-0.6
this is very	-2.0	1	-2.0
is very important	-0.6499999999999999	3	-0.21666666666666665
very important !	-2.0	1	-2.0
Applicants must obtain	2.0	1	2.0
must obtain an	2.0	1	2.0
obtain an application	2.0	1	2.0
an application for	3.0	2	1.5
application for the	2.0	1	2.0
for the year	2.0	1	2.0
the year in	3.8	2	1.9
year in which	2.0	1	2.0
in which they	3.2	2	1.6
which they wish	2.0	1	2.0
they wish to	2.0	1	2.0
wish to apply	2.0	1	2.0
to apply .	2.0	1	2.0
You will get	3.0	2	1.5
will get a	1.7999999999999998	3	0.6
get a three	1.4	1	1.4
a three day	1.4	1	1.4
three day notice	1.4	1	1.4
day notice to	1.4	1	1.4
notice to pay	1.4	1	1.4
to pay or	1.4	1	1.4
pay or quit	1.4	1	1.4
or quit .	1.4	1	1.4
Those who are	0.2	1	0.2
who are open	0.2	1	0.2
are open to	0.2	1	0.2
open to illumination	0.2	1	0.2
